id,title,description,link,condition,price,sale_price,availability,image_link,gtin,mpn,brand,google product category
6504,Almanya 1921 Yılı 50 Pfennig Kneitlingen Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-50-pfennig-kneitlingen-sehri-notgeld-cil,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/18.jpg,,,,
6505,Almanya 1921 Yılı 25 Pfennig Mainz Şehri Notgeld ÇT,,https://numismat.net/almanya-1921-yili-25-pfennig-mainz-sehri-notgeld-ct,Used,35.00004,35.00004,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/19.jpg,,,,
6506,Almanya 1921 Yılı 25 Pfennig Nordhausen Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1921-yili-25-pfennig-nordhausen-sehri-notgeld-cilalti,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/20.jpg,,,,
6507,Almanya 1922 Yılı 75 Pfennig Bad Lauterberg Şehri Notgeld Çil,,https://numismat.net/almanya-1922-yili-75-pfennig-bad-lauterberg-sehri-notgeld-cil,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/21.jpg,,,,
6508,Almanya 1921 Yılı 75 Pfennig Glauchau Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1921-yili-75-pfennig-glauchau-sehri-notgeld-cilalti,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/22.jpg,,,,
6509,Almanya 1921 Yılı 50 Pfennig Twistringen Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-50-pfennig-twistringen-sehri-notgeld-cil,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/23.jpg,,,,
6510,Almanya 1921 Yılı 50 Pfennig Thuringia Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1921-yili-50-pfennig-thuringia-sehri-notgeld-cilalti,Used,30 TRY,30 TRY,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/24.jpg,,,,
6511,Almanya 1921 Yılı 75 Pfennig Eisfeld Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-75-pfennig-eisfeld-sehri-notgeld-cil,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/25.jpg,,,,
6513,Almanya 1922 Yılı 75 Pfennig Stettin Şehri Notgeld Çilaltı,,https://numismat.net/almanya-1922-yili-75-pfennig-stettin-sehri-notgeld-cilalti-1,Used,30 TRY,30 TRY,out_of_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/27.jpg,,,,
6514,Almanya 1921 Yılı 50 Pfennig Hamburg Şehri Notgeld Çil,,https://numismat.net/almanya-1921-yili-50-pfennig-hamburg-sehri-notgeld-cil,Used,35.00004,35.00004,in_stock,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/notgeld/28.jpg,,,,
