model,image,price,link,name_tr
6446,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/22.jpg,1300.0000,https://numismat.net/2022-yili-ermenistan-gumus-500-dram-1-ons-kulce-para,2022 Yılı Ermenistan Gümüş 500 Dram 1 Ons Külçe para
6447,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/24.jpg,458.3300,https://numismat.net/suudi-arabistan-1951-yili-1-riyal-cilalti,Suudi Arabistan 1951 Yılı 1 Riyal ÇİLALTI
6448,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/26.jpg,708.3300,https://numismat.net/kanada-1958-yili-1-dolar-cct,Kanada 1958 Yılı 1 Dolar ÇÇT
00172-020003-00002,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/30.jpg,408.3300,https://numismat.net/abd-1964-yili-1-2-dolar-cct,ABD 1964 Yılı 1/2 Dolar ÇÇT
00173-020003-00003,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/32.jpg,437.5000,https://numismat.net/abd-1964-yili-1-2-dolar-cilalti,ABD 1964 Yılı 1/2 Dolar ÇİLALTI
6452,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/34.jpg,1500.0000,https://numismat.net/cad-2023-yili-5-000-frank-1-ons-kulce-para,Çad 2023 Yılı 5.000 Frank 1 ons Külçe Para
6453,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/36.jpg,1500.0000,https://numismat.net/cad-2023-yili-5-000-frank-1-ons-kulce-para-1,Çad 2023 Yılı 5.000 Frank 1 ons Külçe Para
6454,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/38.jpg,458.3300,https://numismat.net/abd-1964-yili-1-2-dolar-cil,ABD 1964 Yılı 1/2 Dolar ÇİL (-)
00174-020003-00004,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/40.jpg,458.3300,https://numismat.net/abd-1964-yili-1-2-dolar-cil-1,ABD 1964 Yılı 1/2 Dolar ÇİL (-)
6456,https://numismat.net/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/image/catalog/products-2024/silv0324/42.jpg,408.3300,https://numismat.net/abd-1962-yili-1-2-dolar-cct-artiarti,ABD 1962 Yılı 1/2 Dolar ÇÇT (++)
